iter	Passed	Remaining
0	1	185
1	3	160
2	4	147
3	5	134
4	6	130
5	8	139
6	10	134
7	11	130
8	12	128
9	14	126
10	17	143
11	21	155
12	22	151
13	24	149
14	25	145
15	26	141
16	28	137
17	29	134
18	30	131
19	32	128
20	33	126
21	34	123
22	36	121
23	38	121
24	39	119
25	41	117
26	42	114
27	43	112
28	45	110
29	46	108
30	48	106
31	49	105
32	50	103
33	52	101
34	53	100
35	55	98
36	56	96
37	58	94
38	59	92
39	60	91
40	62	89
41	62	86
42	64	84
43	65	83
44	67	82
45	68	80
46	69	78
47	71	77
48	72	75
49	73	73
50	75	72
51	76	70
52	77	68
53	79	67
54	80	65
55	81	64
56	83	62
57	84	61
58	85	59
59	87	58
60	88	56
61	89	55
62	91	53
63	92	52
64	94	50
65	95	49
66	97	47
67	98	46
68	99	44
69	101	43
70	102	41
71	104	40
72	105	38
73	106	37
74	108	36
75	109	34
76	112	33
77	114	32
78	115	30
79	117	29
80	118	27
81	119	26
82	121	24
83	122	23
84	124	21
85	125	20
86	126	18
87	128	17
88	129	16
89	130	14
90	132	13
91	133	11
92	134	10
93	136	8
94	137	7
95	139	5
96	140	4
97	142	2
98	143	1
99	144	0
