iter	Passed	Remaining
0	6	6926
1	13	6855
2	15	5253
3	18	4588
4	22	4436
5	24	4116
6	29	4116
7	31	3873
8	33	3721
9	35	3542
10	38	3504
11	41	3390
12	43	3307
13	48	3416
14	66	4364
15	73	4505
16	75	4380
17	78	4276
18	81	4192
19	83	4114
20	88	4117
21	90	4039
22	93	3960
23	96	3924
24	99	3861
25	101	3806
26	103	3738
27	118	4115
28	121	4052
29	124	4022
30	126	3953
31	128	3894
32	131	3845
33	133	3791
34	135	3749
35	138	3715
36	143	3729
37	146	3702
38	148	3666
39	162	3904
40	167	3923
41	172	3942
42	176	3918
43	178	3888
44	181	3852
45	185	3842
46	188	3827
47	192	3817
48	194	3779
49	204	3890
50	207	3867
51	210	3829
52	212	3789
53	214	3756
54	216	3728
55	219	3706
56	222	3676
57	225	3658
58	229	3653
59	231	3633
60	234	3606
61	236	3583
62	245	3654
63	257	3766
64	260	3742
65	262	3709
66	264	3685
67	267	3661
68	269	3634
69	271	3603
70	273	3580
71	275	3555
72	278	3530
73	280	3512
74	282	3490
75	285	3473
76	292	3506
77	302	3578
78	306	3578
79	310	3571
80	316	3591
81	319	3572
82	320	3542
83	323	3523
84	325	3506
85	328	3494
86	330	3471
87	336	3487
88	345	3531
89	347	3510
90	349	3492
91	351	3473
92	354	3457
93	356	3436
94	359	3423
95	361	3404
96	363	3384
97	365	3363
98	367	3346
99	369	3327
100	372	3312
101	374	3296
102	376	3278
103	393	3386
104	395	3369
105	397	3354
106	399	3336
107	402	3323
108	406	3323
109	415	3361
110	418	3350
111	420	3333
112	423	3320
113	425	3304
114	427	3288
115	429	3272
116	430	3251
117	433	3236
118	436	3231
119	445	3266
120	459	3336
121	461	3319
122	464	3308
123	466	3296
124	469	3286
125	471	3271
126	473	3256
127	476	3244
128	478	3231
129	480	3218
130	482	3203
131	485	3190
132	497	3243
133	500	3231
134	502	3218
135	504	3205
136	508	3202
137	514	3211
138	516	3202
139	519	3189
140	520	3173
141	522	3157
142	525	3150
143	528	3141
144	530	3129
145	541	3166
146	552	3205
147	554	3193
148	557	3183
149	560	3173
150	562	3162
151	565	3152
152	567	3141
153	570	3132
154	572	3119
155	575	3113
156	577	3103
157	580	3093
158	583	3086
159	598	3140
160	601	3134
161	604	3125
162	606	3114
163	608	3103
164	611	3093
165	614	3087
166	617	3078
167	618	3065
168	621	3054
169	623	3042
170	625	3032
171	627	3021
172	630	3013
173	640	3041
